"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Apache County, AZ","04001",739,273998,269.710,250.138
,"Cochise County, AZ","04003",6082,1936095,314.137,251.556
,"Coconino County, AZ","04005",2118,1456245,145.443,199.250
,"Gila County, AZ","04007",3136,703874,445.534,250.538
,"Graham County, AZ","04009",1201,478015,251.247,251.108
,"Greenlee County, AZ","04011",262,129696,202.011,217.082
,"La Paz County, AZ","04012",1229,265443,463.000,228.046
,"Maricopa County, AZ","04013",120439,55707928,216.197,212.725
,"Mohave County, AZ","04015",13622,2947510,462.153,296.961
,"Navajo County, AZ","04017",2398,893274,268.451,233.598
,"Pima County, AZ","04019",39529,14109192,280.165,219.377
,"Pinal County, AZ","04021",9840,4542681,216.612,198.583
,"Santa Cruz County, AZ","04023",1251,701355,178.369,182.086
,"Yavapai County, AZ","04025",11612,3155287,368.017,210.332
,"Yuma County, AZ","04027",6084,2895652,210.108,184.408
,"Arkansas County, AR","05001",1544,306671,503.471,382.294
,"Ashley County, AR","05003",1574,351256,448.106,376.891
,"Baxter County, AR","05005",3460,640497,540.205,272.471
,"Benton County, AR","05007",8309,3183198,261.027,255.578
,"Boone County, AR","05009",2533,572578,442.385,316.817
,"Bradley County, AR","05011",1085,183587,591.000,425.782
,"Calhoun County, AR","05013",335,86680,386.479,284.861
,"Carroll County, AR","05015",1497,420700,355.836,270.062
,"Chicot County, AR","05017",1044,192401,542.617,395.489
,"Clark County, AR","05019",1451,362934,399.797,339.002
,"Clay County, AR","05021",1454,256738,566.336,378.832
,"Cleburne County, AR","05023",1977,402151,491.606,299.550
,"Cleveland County, AR","05025",573,137497,416.736,352.380
,"Columbia County, AR","05027",1754,391008,448.584,346.542
,"Conway County, AR","05029",1344,330179,407.052,308.194
,"Craighead County, AR","05031",4749,1480583,320.752,328.949
,"Crawford County, AR","05033",3098,914710,338.687,338.284
,"Crittenden County, AR","05035",2548,795994,320.103,362.393
,"Cross County, AR","05037",1143,287945,396.951,335.367
,"Dallas County, AR","05039",711,131269,541.636,373.022
,"Desha County, AR","05041",1156,211142,547.499,462.406
,"Drew County, AR","05043",1025,294971,347.492,310.631
,"Faulkner County, AR","05045",3666,1693040,216.534,265.803
,"Franklin County, AR","05047",1160,281802,411.637,309.399
,"Fulton County, AR","05049",945,192160,491.778,303.637
,"Garland County, AR","05051",6843,1486095,460.469,296.360
,"Grant County, AR","05053",858,278429,308.158,297.197
,"Greene County, AR","05055",2481,655564,378.453,351.639
,"Hempstead County, AR","05057",1561,358613,435.288,366.051
,"Hot Spring County, AR","05059",1931,513765,375.853,310.831
,"Howard County, AR","05061",1006,217016,463.560,369.539
,"Independence County, AR","05063",2254,566191,398.099,327.120
,"Izard County, AR","05065",970,213671,453.969,269.533
,"Jackson County, AR","05067",1344,283130,474.694,379.357
,"Jefferson County, AR","05069",5198,1225604,424.117,385.188
,"Johnson County, AR","05071",1376,391345,351.608,303.756
,"Lafayette County, AR","05073",591,122136,483.887,337.611
,"Lawrence County, AR","05075",1232,274754,448.401,318.078
,"Lee County, AR","05077",718,170404,421.352,350.237
,"Lincoln County, AR","05079",816,226195,360.751,350.840
,"Little River County, AR","05081",874,204024,428.381,341.174
,"Logan County, AR","05083",1589,348992,455.311,342.588
,"Lonoke County, AR","05085",2723,1022074,266.419,300.292
,"Madison County, AR","05087",916,238287,384.410,334.441
,"Marion County, AR","05089",1006,260800,385.736,241.985
,"Miller County, AR","05091",2309,675197,341.974,315.471
,"Mississippi County, AR","05093",3058,739060,413.769,417.974
,"Monroe County, AR","05095",743,134792,551.220,385.851
,"Montgomery County, AR","05097",698,146047,477.928,307.062
,"Nevada County, AR","05099",654,145154,450.556,332.096
,"Newton County, AR","05101",504,131154,384.281,269.115
,"Ouachita County, AR","05103",2019,414833,486.702,362.024
,"Perry County, AR","05105",619,163834,377.821,300.240
,"Phillips County, AR","05107",1642,354456,463.245,411.330
,"Pike County, AR","05109",802,176456,454.504,345.027
,"Poinsett County, AR","05111",1864,392522,474.878,414.105
,"Polk County, AR","05113",1505,316878,474.946,336.751
,"Pope County, AR","05115",2815,939917,299.495,289.574
,"Prairie County, AR","05117",601,140127,428.897,289.062
,"Pulaski County, AR","05119",17109,5895732,290.193,282.785
,"Randolph County, AR","05121",1203,284555,422.765,297.654
,"St. Francis County, AR","05123",1821,444234,409.919,417.887
,"Saline County, AR","05125",4337,1618582,267.951,247.148
,"Scott County, AR","05127",749,166451,449.982,354.995
,"Searcy County, AR","05129",564,127625,441.920,278.565
,"Sebastian County, AR","05131",6467,1836442,352.148,316.985
,"Sevier County, AR","05133",818,255731,319.867,307.532
,"Sharp County, AR","05135",1464,272651,536.950,328.428
,"Stone County, AR","05137",807,192926,418.295,272.535
,"Union County, AR","05139",2732,667887,409.051,319.045
,"Van Buren County, AR","05141",1255,267243,469.610,276.036
,"Washington County, AR","05143",7166,2969016,241.359,287.104
,"White County, AR","05145",4487,1179086,380.549,346.460
,"Woodruff County, AR","05147",723,119942,602.791,428.857
,"Yell County, AR","05149",1506,338006,445.554,366.090
,"Alameda County, CA","06001",42520,16990215,250.262,244.635
,"Alpine County, CA","06003",34,14606,232.781,215.629
,"Amador County, CA","06005",2223,573498,387.621,242.567
,"Butte County, CA","06007",11895,3221571,369.230,266.228
,"Calaveras County, CA","06009",2425,687924,352.510,238.657
,"Colusa County, CA","06011",729,314968,231.452,230.664
,"Contra Costa County, CA","06013",33693,13746689,245.099,219.081
,"Del Norte County, CA","06015",1270,389397,326.145,284.600
,"El Dorado County, CA","06017",6466,2667593,242.391,207.763
,"Fresno County, CA","06019",31706,12543151,252.775,282.721
,"Glenn County, CA","06021",1178,413231,285.071,252.792
,"Humboldt County, CA","06023",5989,1908153,313.864,267.241
,"Imperial County, CA","06025",4991,2514070,198.523,233.303
,"Inyo County, CA","06027",1134,251837,450.291,250.542
,"Kern County, CA","06029",28913,11848380,244.025,329.451
,"Kings County, CA","06031",3851,2174512,177.097,265.742
,"Lake County, CA","06033",3993,952541,419.195,294.411
,"Lassen County, CA","06035",1112,504139,220.574,252.738
,"Los Angeles County, CA","06037",320838,131744315,243.531,269.826
,"Madera County, CA","06039",5365,2155359,248.914,273.528
,"Marin County, CA","06041",9273,3710051,249.943,170.090
,"Mariposa County, CA","06043",942,269669,349.317,228.572
,"Mendocino County, CA","06045",4251,1275579,333.260,251.196
,"Merced County, CA","06047",7733,3557900,217.347,277.476
,"Modoc County, CA","06049",544,140110,388.266,262.455
,"Mono County, CA","06051",202,210679,95.880,150.714
,"Monterey County, CA","06053",11623,5935767,195.813,211.808
,"Napa County, CA","06055",6322,1965522,321.645,226.943
,"Nevada County, CA","06057",4981,1513267,329.155,206.929
,"Orange County, CA","06059",92794,38540591,240.770,236.809
,"Placer County, CA","06061",13485,4904035,274.978,216.413
,"Plumas County, CA","06063",1064,305462,348.325,233.473
,"Riverside County, CA","06065",81555,30303459,269.128,271.281
,"Sacramento County, CA","06067",49470,18275692,270.687,269.237
,"San Benito County, CA","06069",1401,831151,168.561,208.479
,"San Bernardino County, CA","06071",66037,28822944,229.113,310.983
,"San Diego County, CA","06073",100089,42222222,237.053,230.549
,"San Francisco County, CA","06075",21260,8178003,259.966,234.076
,"San Joaquin County, CA","06077",23997,8735747,274.699,297.077
,"San Luis Obispo County, CA","06079",11906,4026927,295.660,223.003
,"San Mateo County, CA","06081",21322,8156342,261.416,198.877
,"Santa Barbara County, CA","06083",16065,6172611,260.263,220.088
,"Santa Clara County, CA","06085",39164,18338956,213.556,205.472
,"Santa Cruz County, CA","06087",8576,3863021,222.002,219.925
,"Shasta County, CA","06089",10190,2630567,387.369,284.589
,"Sierra County, CA","06091",194,50812,381.800,241.270
,"Siskiyou County, CA","06093",2629,656076,400.716,255.874
,"Solano County, CA","06095",12028,5387483,223.258,239.202
,"Sonoma County, CA","06097",20535,7127512,288.109,224.838
,"Stanislaus County, CA","06099",21091,7413017,284.513,310.161
,"Sutter County, CA","06101",3711,1192565,311.178,290.150
,"Tehama County, CA","06103",3074,933671,329.238,262.001
,"Trinity County, CA","06105",669,198150,337.623,240.157
,"Tulare County, CA","06107",15397,6329449,243.260,305.847
,"Tuolumne County, CA","06109",3237,849495,381.050,243.857
,"Ventura County, CA","06111",26695,11747469,227.240,224.945
,"Yolo County, CA","06113",5504,2615513,210.437,226.000
,"Yuba County, CA","06115",2752,979367,280.998,333.629
,"Adams County, CO","08001",9840,6438886,152.821,223.336
,"Alamosa County, CO","08003",515,232951,221.077,238.142
,"Arapahoe County, CO","08005",13619,8368799,162.735,189.000
,"Archuleta County, CO","08007",337,182571,184.586,161.505
,"Baca County, CO","08009",354,61076,579.606,267.586
,"Bent County, CO","08011",272,92125,295.251,242.402
,"Boulder County, CO","08013",6886,4498247,153.082,178.553
,"Broomfield County, CO","08014",1047,711274,147.201,178.163
,"Chaffee County, CO","08015",784,276545,283.498,196.443
,"Cheyenne County, CO","08017",120,30244,396.773,244.017
,"Clear Creek County, CO","08019",235,144787,162.307,193.237
,"Conejos County, CO","08021",363,126965,285.906,234.057
,"Costilla County, CO","08023",174,53473,325.398,223.709
,"Crowley County, CO","08025",185,87082,212.443,233.381
,"Custer County, CO","08027",151,64966,232.429,189.971
,"Delta County, CO","08029",1740,468748,371.202,231.958
,"Denver County, CO","08031",19269,8999651,214.108,226.466
,"Dolores County, CO","08033",104,30397,342.139,236.836
,"Douglas County, CO","08035",3292,4118992,79.922,148.460
,"Eagle County, CO","08037",345,776752,44.416,115.247
,"Elbert County, CO","08039",460,360242,127.692,180.141
,"El Paso County, CO","08041",15890,9195713,172.798,213.615
,"Fremont County, CO","08043",2576,728621,353.545,261.983
,"Garfield County, CO","08045",1223,832216,146.957,196.749
,"Gilpin County, CO","08047",132,81318,162.326,236.158
,"Grand County, CO","08049",260,222375,116.920,175.337
,"Gunnison County, CO","08051",245,235509,104.030,162.195
,"Hinsdale County, CO","08053",16,12682,126.163 (Unreliable),116.259 (Unreliable)
,"Huerfano County, CO","08055",472,104412,452.055,237.555
,"Jackson County, CO","08057",53,22303,237.636,184.446
,"Jefferson County, CO","08059",17063,8222333,207.520,205.170
,"Kiowa County, CO","08061",104,22772,456.701,225.679
,"Kit Carson County, CO","08063",386,128433,300.546,224.955
,"Lake County, CO","08065",184,115391,159.458,229.904
,"La Plata County, CO","08067",1286,738982,174.023,186.450
,"Larimer County, CO","08069",8517,4564076,186.610,193.228
,"Las Animas County, CO","08071",843,230960,364.998,241.056
,"Lincoln County, CO","08073",253,87691,288.513,208.545
,"Logan County, CO","08075",1042,343832,303.055,230.430
,"Mesa County, CO","08077",6472,2164976,298.941,234.355
,"Mineral County, CO","08079",37,12087,306.114,212.914
,"Moffat County, CO","08081",397,207563,191.267,223.099
,"Montezuma County, CO","08083",1130,347671,325.020,230.081
,"Montrose County, CO","08085",1850,607397,304.578,210.440
,"Morgan County, CO","08087",1163,437389,265.896,217.801
,"Otero County, CO","08089",1139,289872,392.932,274.460
,"Ouray County, CO","08091",105,67974,154.471,147.182
,"Park County, CO","08093",298,253840,117.397,159.594
,"Phillips County, CO","08095",273,69378,393.496,199.334
,"Pitkin County, CO","08097",172,257867,66.701,85.229
,"Prowers County, CO","08099",567,201436,281.479,235.862
,"Pueblo County, CO","08101",6725,2382490,282.268,225.041
,"Rio Blanco County, CO","08103",196,100392,195.235,194.076
,"Rio Grande County, CO","08105",692,184418,375.235,284.534
,"Routt County, CO","08107",329,356916,92.179,149.948
,"Saguache County, CO","08109",187,95486,195.840,197.482
,"San Juan County, CO","08111",16,10385,154.068 (Unreliable),199.284 (Unreliable)
,"San Miguel County, CO","08113",65,115591,56.233,129.459
,"Sedgwick County, CO","08115",203,38696,524.602,262.217
,"Summit County, CO","08117",200,427643,46.768,91.464
,"Teller County, CO","08119",542,354800,152.762,199.441
,"Washington County, CO","08121",285,77265,368.860,227.223
,"Weld County, CO","08123",6234,3772606,165.244,211.111
,"Yuma County, CO","08125",522,157571,331.279,229.413
,"Fairfield County, CT","09001",36481,13845756,263.481,211.689
,"Hartford County, CT","09003",41234,13472594,306.058,226.875
,"Litchfield County, CT","09005",9446,2937076,321.612,231.440
,"Middlesex County, CT","09007",7058,2534304,278.499,204.179
,"New Haven County, CT","09009",38166,13071542,291.978,219.203
,"New London County, CT","09011",11657,4092018,284.872,230.996
,"Tolland County, CT","09013",5093,2291575,222.249,219.861
,"Windham County, CT","09015",5321,1814657,293.223,259.085
,"Kent County, DE","10001",6941,2406921,288.377,283.923
,"New Castle County, DE","10003",21109,8123539,259.850,247.897
,"Sussex County, DE","10005",10708,2977369,359.646,249.454
,"District of Columbia, DC","11001",27802,9246986,300.660,303.572
,"Alachua County, FL","12001",7319,3660749,199.932,217.567
,"Baker County, FL","12003",968,410870,235.598,296.783
,"Bay County, FL","12005",8175,2585325,316.208,279.737
,"Bradford County, FL","12007",1295,437221,296.189,254.863
,"Brevard County, FL","12009",31270,8332082,375.296,236.772
,"Broward County, FL","12011",86947,27141957,320.342,240.995
,"Calhoun County, FL","12013",825,221055,373.210,312.829
,"Charlotte County, FL","12015",12303,2523907,487.459,199.804
,"Citrus County, FL","12017",13571,2139085,634.430,283.471
,"Clay County, FL","12019",6631,2795392,237.212,263.787
,"Collier County, FL","12021",13991,4987468,280.523,147.927
,"Columbia County, FL","12023",3388,1023710,330.953,286.731
,"DeSoto County, FL","12027",1511,536997,281.380,223.186
,"Dixie County, FL","12029",930,248628,374.053,297.006
,"Duval County, FL","12031",35132,13022639,269.776,283.871
,"Escambia County, FL","12033",15072,4617331,326.422,286.297
,"Flagler County, FL","12035",4548,1355029,335.639,194.700
,"Franklin County, FL","12037",504,175833,286.636,232.903
,"Gadsden County, FL","12039",2308,725371,318.182,300.300
,"Gilchrist County, FL","12041",781,257798,302.950,243.394
,"Glades County, FL","12043",542,189252,286.391,193.254
,"Gulf County, FL","12045",834,248177,336.050,289.406
,"Hamilton County, FL","12047",673,226486,297.149,299.883
,"Hardee County, FL","12049",975,425929,228.911,224.118
,"Hendry County, FL","12051",1461,591050,247.187,286.716
,"Hernando County, FL","12053",11959,2583496,462.900,241.133
,"Highlands County, FL","12055",7796,1510600,516.086,222.141
,"Hillsborough County, FL","12057",46843,18444131,253.972,256.059
,"Holmes County, FL","12059",1478,308346,479.332,392.174
,"Indian River County, FL","12061",9458,2112069,447.807,202.276
,"Jackson County, FL","12063",2969,761336,389.972,310.640
,"Jefferson County, FL","12065",759,223938,338.933,264.051
,"Lafayette County, FL","12067",349,131366,265.670,276.092
,"Lake County, FL","12069",17813,4438270,401.350,228.629
,"Lee County, FL","12071",32449,9375600,346.101,201.294
,"Leon County, FL","12073",7655,4153381,184.308,228.388
,"Levy County, FL","12075",2301,616509,373.231,275.424
,"Liberty County, FL","12077",288,125459,229.557,281.271
,"Madison County, FL","12079",1246,300170,415.098,335.891
,"Manatee County, FL","12081",19963,5008455,398.586,220.051
,"Marion County, FL","12083",22954,4974068,461.473,261.264
,"Martin County, FL","12085",9122,2266908,402.398,179.875
,"Miami-Dade County, FL","12086",107766,38934337,276.789,240.392
,"Monroe County, FL","12087",3178,1192655,266.464,211.779
,"Nassau County, FL","12089",3067,1109986,276.310,241.303
,"Okaloosa County, FL","12091",7054,2832426,249.044,243.826
,"Okeechobee County, FL","12093",2193,609790,359.632,296.474
,"Orange County, FL","12095",33317,16863255,197.572,240.611
,"Osceola County, FL","12097",8835,3974748,222.278,256.997
,"Palm Beach County, FL","12099",76907,20255727,379.680,196.588
,"Pasco County, FL","12101",28075,6927388,405.275,241.590
,"Pinellas County, FL","12103",57218,14291063,400.376,219.136
,"Polk County, FL","12105",32363,9102480,355.540,265.443
,"Putnam County, FL","12107",4141,1153572,358.972,265.415
,"St. Johns County, FL","12109",6471,2831020,228.575,180.638
,"St. Lucie County, FL","12111",14145,4084635,346.298,222.730
,"Santa Rosa County, FL","12113",5386,2291998,234.991,254.829
,"Sarasota County, FL","12115",25661,5893207,435.434,175.721
,"Seminole County, FL","12117",14734,6371176,231.260,226.960
,"Sumter County, FL","12119",5838,1387421,420.781,192.572
,"Suwannee County, FL","12121",2665,641161,415.652,303.098
,"Taylor County, FL","12123",1139,339211,335.779,298.878
,"Union County, FL","12125",750,236156,317.587,399.623
,"Volusia County, FL","12127",32253,7693002,419.251,250.557
,"Wakulla County, FL","12129",1033,453912,227.577,273.919
,"Walton County, FL","12131",2670,838102,318.577,272.682
,"Washington County, FL","12133",1457,368237,395.669,338.266
,"Appling County, GA","13001",1037,285455,363.280,347.019
,"Atkinson County, GA","13003",370,127688,289.769,371.220
,"Bacon County, GA","13005",660,172150,383.387,392.893
,"Baker County, GA","13007",182,57354,317.327,269.285
,"Baldwin County, GA","13009",2300,723247,318.010,338.784
,"Banks County, GA","13011",681,274133,248.420,271.871
,"Barrow County, GA","13013",2281,989398,230.544,294.317
,"Bartow County, GA","13015",3580,1500400,238.603,285.462
,"Ben Hill County, GA","13017",1033,275378,375.121,341.920
,"Berrien County, GA","13019",995,290171,342.901,322.387
,"Bibb County, GA","13021",9393,2418196,388.430,366.246
,"Bleckley County, GA","13023",710,199073,356.653,303.206
,"Brantley County, GA","13025",794,276553,287.106,307.761
,"Brooks County, GA","13027",1063,254429,417.798,345.476
,"Bryan County, GA","13029",975,461480,211.277,290.133
,"Bulloch County, GA","13031",2221,1051491,211.224,287.495
,"Burke County, GA","13033",1225,364103,336.443,362.960
,"Butts County, GA","13035",1070,361471,296.013,301.910
,"Calhoun County, GA","13037",389,101637,382.735,368.139
,"Camden County, GA","13039",1468,764902,191.920,298.322
,"Candler County, GA","13043",738,167336,441.029,377.199
,"Carroll County, GA","13045",4650,1684533,276.041,331.021
,"Catoosa County, GA","13047",2733,977454,279.604,275.240
,"Charlton County, GA","13049",533,193592,275.321,308.266
,"Chatham County, GA","13051",11946,4029752,296.445,287.503
,"Chattahoochee County, GA","13053",186,198655,93.630,369.608
,"Chattooga County, GA","13055",1605,405407,395.898,343.187
,"Cherokee County, GA","13057",5115,3150553,162.352,233.320
,"Clarke County, GA","13059",3302,1750341,188.649,257.910
,"Clay County, GA","13061",291,50701,573.953,375.862
,"Clayton County, GA","13063",6989,3919509,178.313,308.950
,"Clinch County, GA","13065",432,108510,398.120,431.887
,"Cobb County, GA","13067",17134,10320738,166.015,230.802
,"Coffee County, GA","13069",1834,653591,280.604,322.188
,"Colquitt County, GA","13071",2379,698915,340.385,332.239
,"Columbia County, GA","13073",3295,1821074,180.937,223.571
,"Cook County, GA","13075",990,265305,373.155,366.052
,"Coweta County, GA","13077",4014,1876112,213.953,270.362
,"Crawford County, GA","13079",548,200612,273.164,288.687
,"Crisp County, GA","13081",1282,362053,354.092,314.394
,"Dade County, GA","13083",897,257281,348.646,328.069
,"Dawson County, GA","13085",791,333478,237.197,280.681
,"Decatur County, GA","13087",1666,436705,381.493,345.472
,"DeKalb County, GA","13089",18787,10408867,180.490,227.202
,"Dodge County, GA","13091",1248,330806,377.260,360.726
,"Dooly County, GA","13093",706,217375,324.784,305.025
,"Dougherty County, GA","13095",4701,1485528,316.453,318.882
,"Douglas County, GA","13097",4053,1935738,209.378,303.286
,"Early County, GA","13099",859,178005,482.571,379.912
,"Echols County, GA","13101",120,61497,195.131,276.472
,"Effingham County, GA","13103",1645,784666,209.643,295.940
,"Elbert County, GA","13105",1381,318972,432.953,342.337
,"Emanuel County, GA","13107",1452,352707,411.673,380.979
,"Evans County, GA","13109",612,171239,357.395,339.775
,"Fannin County, GA","13111",1409,364337,386.730,263.356
,"Fayette County, GA","13113",3236,1593649,203.056,204.430
,"Floyd County, GA","13115",5491,1486695,369.343,324.807
,"Forsyth County, GA","13117",3872,2444394,158.403,232.332
,"Franklin County, GA","13119",1380,346244,398.563,319.624
,"Fulton County, GA","13121",29743,13560256,219.340,263.459
,"Gilmer County, GA","13123",1279,434540,294.334,252.233
,"Glascock County, GA","13125",214,46523,459.988,347.311
,"Glynn County, GA","13127",3628,1210500,299.711,254.730
,"Gordon County, GA","13129",2350,831355,282.671,320.540
,"Grady County, GA","13131",1340,386117,347.045,316.433
,"Greene County, GA","13133",1008,251053,401.509,307.201
,"Gwinnett County, GA","13135",13666,10959588,124.694,218.165
,"Habersham County, GA","13137",1792,639828,280.075,243.157
,"Hall County, GA","13139",5837,2695548,216.542,244.272
,"Hancock County, GA","13141",579,149050,388.460,332.647
,"Haralson County, GA","13143",1669,446725,373.608,353.172
,"Harris County, GA","13145",1252,476031,263.008,257.770
,"Hart County, GA","13147",1541,392083,393.029,304.582
,"Heard County, GA","13149",512,182682,280.268,276.361
,"Henry County, GA","13151",5097,2889679,176.386,265.597
,"Houston County, GA","13153",4574,2091201,218.726,269.673
,"Irwin County, GA","13155",539,152254,354.014,290.824
,"Jackson County, GA","13157",2485,877659,283.140,322.199
,"Jasper County, GA","13159",617,210177,293.562,296.139
,"Jeff Davis County, GA","13161",940,226376,415.238,440.889
,"Jefferson County, GA","13163",1145,265764,430.833,368.871
,"Jenkins County, GA","13165",497,136609,363.812,317.796
,"Johnson County, GA","13167",585,154284,379.171,329.221
,"Jones County, GA","13169",1060,438439,241.767,249.530
,"Lamar County, GA","13171",1016,278712,364.534,348.684
,"Lanier County, GA","13173",384,144904,265.003,306.187
,"Laurens County, GA","13175",3054,747327,408.656,352.934
,"Lee County, GA","13177",781,431108,181.161,268.528
,"Liberty County, GA","13179",1339,978104,136.898,284.716
,"Lincoln County, GA","13181",524,127723,410.263,349.726
,"Long County, GA","13183",375,216783,172.984,268.586
,"Lowndes County, GA","13185",4180,1640298,254.832,328.685
,"Lumpkin County, GA","13187",1000,443715,225.370,260.818
,"McDuffie County, GA","13189",1159,341577,339.309,329.297
,"McIntosh County, GA","13191",554,210585,263.077,216.637
,"Macon County, GA","13193",905,223804,404.372,402.883
,"Madison County, GA","13195",1344,437074,307.499,315.823
,"Marion County, GA","13197",458,128986,355.077,340.367
,"Meriwether County, GA","13199",1641,349446,469.600,400.662
,"Miller County, GA","13201",435,96671,449.980,305.282
,"Mitchell County, GA","13205",1374,370012,371.339,356.567
,"Monroe County, GA","13207",1303,402480,323.743,303.154
,"Montgomery County, GA","13209",450,143109,314.446,349.875
,"Morgan County, GA","13211",972,275335,353.024,306.346
,"Murray County, GA","13213",1551,621531,249.545,320.292
,"Muscogee County, GA","13215",10030,2961074,338.728,354.731
,"Newton County, GA","13217",3303,1461339,226.026,282.360
,"Oconee County, GA","13219",1019,485520,209.878,238.125
,"Oglethorpe County, GA","13221",597,225842,264.344,249.264
,"Paulding County, GA","13223",2862,2038361,140.407,242.602
,"Peach County, GA","13225",1290,413491,311.978,361.022
,"Pickens County, GA","13227",1485,450733,329.463,296.432
,"Pierce County, GA","13229",991,283487,349.575,340.272
,"Pike County, GA","13231",772,266632,289.538,306.480
,"Polk County, GA","13233",2611,639916,408.022,395.590
,"Pulaski County, GA","13235",721,176891,407.596,341.275
,"Putnam County, GA","13237",1139,326132,349.245,295.622
,"Quitman County, GA","13239",155,39269,394.713,259.899
,"Rabun County, GA","13241",911,253944,358.741,242.570
,"Randolph County, GA","13243",604,120249,502.291,355.562
,"Richmond County, GA","13245",8919,3105937,287.160,316.083
,"Rockdale County, GA","13247",2691,1278474,210.485,246.998
,"Schley County, GA","13249",208,73758,282.003,299.149
,"Screven County, GA","13251",987,232712,424.129,365.694
,"Seminole County, GA","13253",636,140813,451.663,333.659
,"Spalding County, GA","13255",3393,986529,343.933,329.957
,"Stephens County, GA","13257",1709,405508,421.447,347.017
,"Stewart County, GA","13259",381,90189,422.446,331.790
,"Sumter County, GA","13261",1801,508202,354.387,335.686
,"Talbot County, GA","13263",450,106409,422.897,359.461
,"Taliaferro County, GA","13265",162,28540,567.624,360.091
,"Tattnall County, GA","13267",1197,381939,313.401,347.364
,"Taylor County, GA","13269",527,137853,382.291,333.868
,"Telfair County, GA","13271",952,244378,389.560,333.618
,"Terrell County, GA","13273",598,154479,387.108,328.111
